source_id,profile_id,description,driver_age,gender,marital,years_licensed,incidents,violations,coverage,liability_limits,comp_deductible,coll_deductible,vehicle,annual_miles,good_student,driver_training,other
ca-2026,ca-1132C,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=8 to 13; Mileage=7,600 - 10,000; Driving Record=1 At-Fault Accident; Vehicle=Toyota Camry; Profile 1132C. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,13,1,0,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
ca-2026,ca-1132D,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=8 to 13; Mileage=7,600 - 10,000; Driving Record=1 Ticket and 1 Accident; Vehicle=Toyota Camry; Profile 1132D. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,13,1,1,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
ca-2026,ca-1133A,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=8 to 13; Mileage=12,500 - 16,000; Driving Record=No Violations; Vehicle=Toyota Camry; Profile 1133A. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,13,0,0,liability-only,30/60/15,,,Toyota Camry,"12,500 - 16,000",,,
ca-2026,ca-1141A,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=14 to 25; Mileage=5,000 - 7,500; Driving Record=No Violations; Vehicle=Toyota Camry; Profile 1141A. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,25,0,0,liability-only,30/60/15,,,Toyota Camry,"5,000 - 7,500",,,
ca-2026,ca-1142A,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=14 to 25; Mileage=7,600 - 10,000; Driving Record=No Violations; Vehicle=Toyota Camry; Profile 1142A. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,25,0,0,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
ca-2026,ca-1142B,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=14 to 25; Mileage=7,600 - 10,000; Driving Record=1 Traffic Ticket; Vehicle=Toyota Camry; Profile 1142B. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,25,0,1,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
ca-2026,ca-1142C,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=14 to 25; Mileage=7,600 - 10,000; Driving Record=1 At-Fault Accident; Vehicle=Toyota Camry; Profile 1142C. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,25,1,0,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
ca-2026,ca-1142D,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=14 to 25; Mileage=7,600 - 10,000; Driving Record=1 Ticket and 1 Accident; Vehicle=Toyota Camry; Profile 1142D. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,25,1,1,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
ca-2026,ca-1143A,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=14 to 25; Mileage=12,500 - 16,000; Driving Record=No Violations; Vehicle=Toyota Camry; Profile 1143A. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,25,0,0,liability-only,30/60/15,,,Toyota Camry,"12,500 - 16,000",,,
ca-2026,ca-1152A,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Married Couple; Years Licensed=13yrs/10yrs; Mileage=7,600 - 10,000; Driving Record=No Violations; Vehicle=Toyota Camry, Toyota Rav4; Profile 1152A. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,married,,,,liability-only,30/60/15,,,"Toyota Camry, Toyota Rav4","7,600 - 10,000",,,multi-driver/multi-car profile: Married Couple (13yrs/10yrs licensed)
