source_id,state,data_year,url,locator,territory,carrier,profile_id,annual_premium
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Auto-Owners Insurance Company' / 'Plan 1' = $2,708 (6-month, x2)",Alamosa (81101),Auto-Owners Insurance Company,co-A-P1,5416
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Auto-Owners Insurance Company' / 'Plan 2' = $3,183 (6-month, x2)",Alamosa (81101),Auto-Owners Insurance Company,co-A-P2,6366
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Auto-Owners Insurance Company' / 'Plan 3' = $3,279 (6-month, x2)",Alamosa (81101),Auto-Owners Insurance Company,co-A-P3,6558
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Bankers Standard Insurance Company' / 'Plan 1' = $1,891 (6-month, x2)",Alamosa (81101),Bankers Standard Insurance Company,co-A-P1,3782
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Bankers Standard Insurance Company' / 'Plan 2' = $2,113 (6-month, x2)",Alamosa (81101),Bankers Standard Insurance Company,co-A-P2,4226
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Bankers Standard Insurance Company' / 'Plan 3' = $2,312 (6-month, x2)",Alamosa (81101),Bankers Standard Insurance Company,co-A-P3,4624
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Berkley One' / 'Plan 1' = $1,342 (6-month, x2)",Alamosa (81101),Berkley One,co-A-P1,2684
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Berkley One' / 'Plan 3' = $1,582 (6-month, x2)",Alamosa (81101),Berkley One,co-A-P3,3164
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Bristol West Insurance Company' / 'Plan 1' = $1,571 (6-month, x2)",Alamosa (81101),Bristol West Insurance Company,co-A-P1,3142
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'COUNTRY Casualty Insurance Company' / 'Plan 1' = $2,448 (6-month, x2)",Alamosa (81101),COUNTRY Casualty Insurance Company,co-A-P1,4896
